interpolatedPhoneTimestamp,respeckTimestamp,sequenceNumber,x,y,z,breathingSignal,breathingRate,activityLevel,activityType
1539436345687,17378753719,15,-0.038330078,-0.94628906,-0.063964844,NaN,NaN,0.42212853,0
1539436345767,17378753719,16,-0.16430664,-0.94311523,-0.028808594,NaN,NaN,0.42212853,0
1539436345847,17378753719,17,-0.068847656,-0.97753906,0.025878906,NaN,NaN,0.42212853,0
1539436345927,17378753719,18,-0.016845703,-0.9465332,0.07788086,NaN,NaN,0.42212853,0
1539436346007,17378753719,19,-0.07299805,-0.97924805,0.13378906,0.20270221,NaN,0.28467906,0
1539436346087,17378753719,20,-0.1237793,-1.0292969,0.09887695,-0.02334398,NaN,0.22761293,0
1539436346167,17378753719,21,-0.083984375,-1.0036621,0.07543945,-0.25401363,NaN,0.21930923,0
1539436346247,17378753719,22,-0.12182617,-1.0109863,0.08105469,-0.37594056,NaN,0.18229361,9
1539436346327,17378753719,23,-0.15893555,-0.9519043,0.052734375,-0.50912523,NaN,0.13839501,9
1539436346407,17378753719,24,-0.16455078,-0.91748047,0.08691406,-0.5804852,NaN,0.13839501,9
1539436346487,17378753719,25,-0.11035156,-1.020752,0.08178711,-0.63291866,NaN,0.13839501,9
1539436346567,17378753719,26,0.029785156,-1.043457,0.09692383,-0.77071977,NaN,0.14276883,9
1539436346647,17378753719,27,0.013916016,-1.0249023,-0.046875,-1.0150591,NaN,0.14585681,9
1539436346727,17378753719,28,0.05126953,-0.9382324,-0.03491211,-1.3114176,NaN,0.14585681,9
1539436346807,17378753719,29,0.08154297,-1.0166016,-0.11010742,-1.6852565,NaN,0.14585681,9
1539436346887,17378753719,30,-0.045898438,-0.9604492,-0.11254883,-1.9984349,NaN,0.14585681,9
1539436346967,17378753719,31,-0.010009766,-0.9423828,-0.14746094,-1.5758849,NaN,0.14585681,9
1539436347047,17378756148,0,-0.0859375,-1.0063477,-0.103759766,-1.2114252,NaN,0.14585681,9
1539436347112,17378756148,1,-0.053710938,-0.9326172,-0.12939453,-0.84963423,NaN,0.14585681,9
1539436347177,17378756148,2,-0.07299805,-0.9663086,-0.08105469,-0.58070666,NaN,0.14585681,9
1539436347243,17378756148,3,-0.09423828,-0.9694824,-0.0925293,-0.34398368,NaN,0.14585681,9
1539436347308,17378756148,4,-0.11010742,-0.99902344,-0.087890625,-0.09789917,NaN,0.14585681,9
1539436347374,17378756148,5,-0.083496094,-0.97802734,0.0056152344,0.068327926,NaN,0.14585681,9
1539436347439,17378756148,6,-0.092285156,-0.95654297,-0.036376953,0.37360248,NaN,0.14585681,9
1539436347504,17378756148,7,-0.047607422,-1.0009766,-0.029296875,0.5265512,NaN,0.14585681,9
1539436347570,17378756148,8,-0.048339844,-0.9963379,0.015136719,0.6844549,NaN,0.14585681,9
1539436347635,17378756148,9,-0.045166016,-0.9645996,0.032226562,0.7917847,NaN,0.14585681,9
1539436347701,17378756148,10,0.044189453,-0.99365234,0.0073242188,0.8431926,NaN,0.14585681,9
1539436347766,17378756148,11,0.0078125,-1.0056152,0.008300781,0.4964248,NaN,0.14585681,9
1539436347831,17378756148,12,0.00390625,-0.96533203,-0.018066406,0.25823542,NaN,0.14585681,9
1539436347897,17378756148,13,0.029785156,-1.0419922,-0.028808594,-0.0028358002,NaN,0.14585681,9
1539436347962,17378756148,14,-0.012939453,-0.9523926,-0.033935547,-0.17423014,NaN,0.14585681,9
1539436348028,17378756148,15,0.029052734,-0.9770508,-0.015380859,-0.36232913,NaN,0.14585681,0
1539436348093,17378756148,16,0.015625,-0.9716797,-0.030273438,-0.5578118,NaN,0.14585681,0
1539436348158,17378756148,17,0.099853516,-0.97753906,-0.056640625,-0.5914009,NaN,0.14585681,0
1539436348224,17378756148,18,0.10620117,-0.9719238,-0.021972656,-0.77567786,NaN,0.14585681,0
1539436348289,17378756148,19,0.037841797,-1.0097656,-0.021972656,-0.79501957,NaN,0.14585681,0
1539436348355,17378756148,20,-0.08911133,-0.9953613,-0.011962891,-0.7371375,NaN,0.14585681,0
1539436348420,17378756148,21,-0.064941406,-0.9875488,0.02758789,-0.6338287,NaN,0.14585681,0
1539436348485,17378756148,22,-0.21362305,-0.9140625,-0.0703125,-0.40708873,NaN,0.19259013,0
